grid_id;organization_name;country_code;country;latitude;longitude;native_count;newcomer_count;outgoer_count;total_researcher_count;native_percentage;newcomer_percentage;outgoer_percentage;organization_type_id;organization_type
grid.1011.1;James Cook Univ.;AU;Australia;-193.278;146.758;1318;1761;825;3904;33.760;45.108;21.132;3;Education
grid.1022.1;Griffith Univ.;AU;Australia;-274.706;153.023;2469;3225;1130;6824;36.181;47.260;16.559;3;Education
grid.415306.5;Garvan Inst.  Med. Res.;AU;Australia;-338.784;151.222;199;825;303;1327;14.996;62.170;22.834;7;Nonprofit
grid.416107.5;Royal Children's Hosp.;AU;Australia;-37.795;144.95;555;2320;923;3798;14.613;61.085;24.302;6;Healthcare
grid.412744.0;Princess Alex &ra Hosp.;AU;Australia;-274.993;153.033;472;1176;539;2187;21.582;53.772;24.646;6;Healthcare
grid.413973.b;Children's Hosp. at Westmead;AU;Australia;-338.017;150.992;366;1131;494;1991;18.383;56.806;24.812;6;Healthcare
grid.15485.3d;Helsinki Univ. Hosp.;FI;Finland;601.886;249.053;736;3507;1445;5688;12.940;61.656;25.404;6;Healthcare
grid.502801.e;Tampere Univ.;FI;Finland;614.969;237.791;2625;2532;1331;6488;40.459;39.026;20.515;3;Education
grid.29906.34;Akdeniz Univ.;TR;Turkey;36.895;306.511;1057;741;526;2324;45.482;31.885;22.633;3;Education
grid.32140.34;Yeditepe Univ.;TR;Turkey;409.728;291.519;391;606;266;1263;30.958;47.981;21.061;3;Education
grid.34538.39;Uluda? Univ.;TR;Turkey;402.189;28.87;1206;467;423;2096;57.538;22.281;20.181;3;Education
grid.37553.37;Jordan Univ.  Science  & Technology;JO;Jordan;324.946;359.897;869;598;474;1941;44.771;30.809;24.420;3;Education
grid.410877.d;Univ.  Technology Malaysia;MY;Malaysia;155.917;103.641;4758;1421;1961;8140;58.452;17.457;24.091;3;Education
grid.440438.f;Universiti Malaysia Pahang;MY;Malaysia;35.437;103.429;1247;575;302;2124;58.710;27.072;14.219;3;Education
grid.412036.2;Natl. Sun Yat-sen Univ.;TW;Taiwan;226.267;120.266;2218;1165;662;4045;54.833;28.801;16.366;3;Education
grid.412090.e;Natl. Taiwan Normal Univ.;TW;Taiwan;250.262;121.528;1416;747;392;2555;55.421;29.237;15.343;3;Education
grid.256105.5;Fu Jen Catholic Univ.;TW;Taiwan;250.358;121.433;505;719;148;1372;36.808;52.405;10.787;3;Education
grid.7155.6;Alex &ria Univ.;EG;Egypt;312.067;299.114;3086;861;903;4850;63.629;17.753;18.619;3;Education
